Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
handi restaurant,small function / party halls,5.0,0,500.0,21,70,200,jaipur,2
krishna palace,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,450.0,26,150,300,jaipur,3
sapta shakti officers institute,marriage garden / lawns,5.0,0,300.0,21,600,1000,jaipur,2
ananta spa & resort jaipur,"4 star & above wedding hotels, wedding resorts",5.0,2,3500.0,200,60,1500,jaipur,4
kyriad hotel jaipur,"banquet halls, small function / party halls",5.0,2,650.0,21,200,500,jaipur,2
shivam resort and hotel,"banquet halls, marriage garden / lawns",5.0,1,500.0,27,300,1050,jaipur,3
grand royal banquet,banquet halls,5.0,1,1000.0,21,250,450,ncr,2
"shiv vatika, karol bagh",banquet halls,5.0,1,600.0,21,250,400,ncr,2
yash farm,marriage garden / lawns,5.0,1,600.0,21,800,1000,ncr,3
ginger faridabad,"banquet halls, 3 star hotels with banquets",4.5,1,1000.0,25,60,120,ncr,3
maharaja agrasen bhawan,banquet halls,5.0,1,300.0,21,180,300,ncr,2
hotel mukund residency,"banquet halls, 3 star hotels with banquets",5.0,1,650.0,25,50,200,ncr,3
poonam villa,"banquet halls, venues with rooms",5.0,1,800.0,38,200,250,ncr,3
world art dining,"banquet halls, small function / party halls",5.0,3,1200.0,21,70,250,ncr,2
valentine banquet,"banquet halls, convention / function halls",5.0,1,850.0,21,850,950,ncr,2
divine dreams farm & banquets,"banquet halls, venues with rooms",5.0,4,1500.0,2,480,800,ncr,3
red fox hotel,"banquet halls, 3 star hotels with banquets",5.0,1,1000.0,24,180,300,ncr,3
the country touch resort,"marriage garden / lawns, wedding resorts",5.0,1,950.0,20,700,1100,ncr,3
ethiraj kalyana mandapam,"banquet halls, 3 star hotels with banquets",5.0,0,350.0,10,400,500,chennai,3
hashta grand hall,"banquet halls, venues with rooms",5.0,0,450.0,2,250,400,chennai,3
fairfield by marriott chennai mahindra world city,"4 star & above wedding hotels, banquet halls",5.0,0,1500.0,40,500,1500,chennai,3
ananda mahal,banquet halls,5.0,1,700.0,21,300,500,chennai,2
abu sarovar portico,"banquet halls, 3 star hotels with banquets",5.0,1,900.0,85,20,500,chennai,3
thamarai banquet hall,"banquet halls, small function / party halls",5.0,0,350.0,21,100,200,chennai,2
kolping mahal,banquet halls,5.0,0,350.0,21,250,400,chennai,3
sri udaya selvi palace ac,banquet halls,5.0,0,300.0,21,150,250,chennai,2
selvam mahal,banquet halls,5.0,0,350.0,21,620,750,chennai,2
crossway park lane,"banquet halls, 3 star hotels with banquets",5.0,0,600.0,32,42,250,chennai,3
laxmi narayan mahal,"banquet halls, 3 star hotels with banquets",5.0,2,300.0,10,600,900,chennai,3
kamakshi hall,banquet halls,5.0,0,800.0,21,200,400,chennai,2
vijayraj lawns,"banquet halls, marriage garden / lawns",5.0,0,450.0,21,200,600,pune,2
stayvista at horizon hues,marriage garden / lawns,5.0,0,35000.0,4,35,60,pune,4
toyam by orchid hotels,wedding resorts,5.0,0,1599.0,21,50,150,pune,3
aahana retreat,"banquet halls, marriage garden / lawns",5.0,0,500.0,21,300,500,pune,2
river paradise resort,"marriage garden / lawns, wedding resorts",5.0,0,750.0,100,650,800,pune,3
